conversation_id_str,full_text,id_str,user_id_str,username,full_text_normalized
1897128780399043050,Kalo alasannya gitu itu dulu firaun lebih kaya dan disembah hidup lagi sebelum mati (semua manusia ya emang gitu) itu Bahlil masih hidup bahkan lebih enak dari kita.,1897764897435382247,1754638470793003008,349Salsastore,Kalo alasannya begitu  itu dulu firaun lebih kaya dan disembah hidup lagi sebelum mati (semua manusia ya memang  gitu) itu Bahlil masih hidup bahkan lebih enak dari kita.
1897764481272545613,Pak Luhut ayo teriakin you're fuckin n*gger ke investor yg mulai resah itu,1897764481272545613,1721891766440427520,bahlil_holic,Pak Luhut ayo teriakin you're fuckin n*gger ke investor yang  mulai resah itu
1897681997725651143,bahlil,1897763663026467165,1358341562,zekjen,bahlil
1897606657062154369,Ai maneh dongo kos doang si bahlil,1897683605553598478,1425853213111058436,aisyyyy123,Ai mana  dongo kos saja  si bahlil
1897607981623374056,mending diangkut bahlil aowkaowkak yh nanti guah dm,1897683122390753538,1609380787685847040,kuciingsigma,mending diangkut bahlil aowkaowkak yh nanti guah dm
1897638271213293867,Anggaplah anggapan Mbah Arief benar berarti terjadi pembiaran bukan? Kan Sontoloyo itu itu tindakan seorang presiden  kok bisa? Demi anak karbitan bisa maju WaPres? Demi mantu bisa maju Gubernur? Demi Anaknya bisa KETUM? Supaya Bahlil bisa Ketum? Presiden macam apa itu https://t.co/4IoWA7oYJn,1897680449276907725,50586787,Info24Jam,Anggaplah anggapan Mbah Arief benar berarti terjadi pembiaran bukan? Kan Sontoloyo itu itu tindakan seorang presiden kok bisa? Demi anak karbitan bisa maju WaPres? Demi mantu bisa maju Gubernur? Demi Anaknya bisa KETUM? Supaya Bahlil bisa Ketum? Presiden macam apa itu https://t.co/4IoWA7oYJn
1897663409354920264,Saingan jelek jelekan sama pujangga Wakanda Bahlil Gibran.,1897680362526097609,262750853,819uta,Saingan jelek jelekan sama pujangga Wakanda Bahlil Gibran.
1897679291628109959,jangan lupa gosok gigi sebelum tidur biar giginya ga kropos kaya bahlil,1897679291628109959,1737872006622932992,caketobeyi,jangan lupa gosok gigi sebelum tidur biar giginya tidak kropos kaya bahlil
1897676306474733855,berteman sm klian ada salah yaaa sampai ketemu lagi klo aku udh rada baikan yh anw bwat anak bahlil lovers ntar kapan2 aku join buat maen mapia yh awoakwoak soalnya ak cmn rest twt hehe byee aku logout dulu efriwan,1897677607984099658,1874074068875644928,zuareq,berteman sama  klian ada salah yaaa sampai ketemu lagi kalau saya sudah agak  baikan yh anw bwat anak bahlil lovers nanti  kapan2 saya join buat main  mapia yh awoakwoak soalnya saya  hanya  rest twt hehe byee saya logout dulu efriwan
1897677283378466931,YaAllah mohon pindahin semua banjir kerumah mulyono prab gibran bahlil dkk banyak bgt gabisa sebut satu2 aamiin,1897677283378466931,1730893902,luhaluan,YaAllah mohon pindahin semua banjir kerumah mulyono prab gibran bahlil dkk banyak sangat  tidak bisa sebut satu2 amin 
